coach_id,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,weight,height,position,experience,occupation,team_id,former_player_id,quick_left,contract_salary,contract_years,contract_extension_salary,contract_extension_years,scout_major,scout_minor,scout_international,scout_amateur,scout_amateur_preference,teach_hitting,teach_pitching,teach_fielding,handle_veterans,handle_rookies,handle_players,strategy_knowledge,heal_legs,heal_arms,heal_back,heal_other,heal_rest,management_style,personality,hitting_focus,pitching_focus,training_focus,teach_running,prevent_legs,prevent_arms,prevent_back,prevent_other,stealing,running,pinchrun,pinchhit_pos,pinchhit_pitch,hook_start,hook_relief,closer,lr_matchup,bunt_hit,bunt,hit_run,run_hit,squeeze,pitch_around,intentional_walk,hold_runner,guard_lines,infield_in,outfield_in,corners_in,shift_if,shift_of,num_pitchers,num_hitters,favor_speed_to_power,favor_avg_to_obp,favor_defense_to_offense,favor_pitching_to_hitting,favor_veterans_to_prospects,trade_aggressiveness,player_loyalty,trade_frequency,trade_preference,value_stats,value_this_year,value_last_year,value_two_years,draft_value,intl_fa_value,develop_value,ratings_value,manager_value,pitching_coach_value,hitting_coach_value,scout_value,doctor_value,busy,type,data,days_left
11,"Ed","Baker","",53,"1975-2-27",78373,206,215,194,8,6,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,121,169,92,164,100,0,1,2,0,2,0,135,121,50,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,3,-4,0,-6,2,1,0,9,8,3,0,-5,0,-1,3,50,0,0,0,127,0,0,0,0
12,"Lisa","-Ann-","",56,"1972-5-9",22575,206,235,194,7,0,6,0,164,5,0,0,0,0,106,118,103,120,1,21,22,22,11,9,10,0,0,0,0,0,0,0,2,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-4,-4,3,4,2,0,-2,0,7,9,4,0,-1,4,-4,2,21,19,18,113,0,0,0,0,0
13,"Justin","Garman","",47,"1981-5-17",42568,206,205,186,5,3,5,0,0,0,0,0,0,0,14,11,22,17,2,81,38,15,85,66,75,0,0,0,0,0,0,5,2,3,1,0,48,0,0,0,0,3,2,3,3,3,-2,-3,-2,3,0,-1,0,-1,0,3,3,0,3,3,2,3,3,3,0,0,-2,-1,8,4,1,-2,0,0,0,7,10,2,1,3,6,-6,3,44,47,80,15,0,0,0,0,0
14,"Mark","Saldana","",42,"1985-10-23",55211,206,240,199,4,1,4,0,0,0,0,0,0,0,2,18,9,21,3,13,68,39,64,69,66,0,0,0,0,0,0,3,0,3,0,0,31,0,0,0,0,3,1,3,3,1,2,1,2,1,2,3,3,3,4,0,0,1,-1,0,0,2,-2,1,0,0,2,0,1,-6,4,3,5,0,0,5,11,2,2,1,-3,6,-2,39,68,26,13,0,0,0,0,0
15,"Luis","Gutierrez","",43,"1985-6-7",44160,206,210,187,1,0,2,0,0,0,0,0,0,0,9,11,17,16,3,51,82,77,57,66,61,0,0,0,0,0,0,5,2,0,3,0,65,0,0,0,0,2,2,3,3,2,-1,-1,-2,3,1,-1,0,1,1,2,2,0,3,3,2,3,3,3,0,0,6,5,3,3,-5,7,2,2,-1,6,10,3,1,-6,-1,-3,-7,55,77,54,13,0,0,0,0,0
16,"Josh","McQuillan","",60,"1967-10-2",60093,206,195,188,2,18,3,0,0,0,0,0,0,0,6,14,17,11,2,99,64,57,60,84,72,0,0,0,0,0,0,3,2,1,2,0,74,0,0,0,0,2,-1,3,1,3,2,1,2,1,1,3,3,3,2,2,1,0,0,1,2,0,-1,0,0,0,-3,2,6,3,0,-1,1,2,0,7,10,2,1,-1,1,-1,-2,119,66,92,11,0,0,0,0,0
17,"Adan","Andersen","",61,"1967-7-10",32300,206,205,194,3,13,1,0,0,4,0,0,0,0,73,62,64,67,1,68,56,0,1,23,12,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,7,-3,1,-7,0,-1,0,5,9,4,2,-2,2,2,6,78,45,54,68,0,0,0,0,0
18,"Oscar","Ulloa","",54,"1974-7-26",50069,206,190,187,8,5,12,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,77,55,190,155,166,0,1,1,3,3,0,73,129,68,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-2,-1,-4,-5,-2,3,0,-1,5,9,5,1,-3,5,3,7,10,0,0,3,119,0,0,0,0
19,"Matthew","Shook","",51,"1977-6-25",58739,206,215,192,7,1,6,0,0,5,0,0,0,0,67,101,78,95,2,21,14,4,1,15,8,0,0,0,0,0,0,0,2,2,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,5,-1,5,-1,3,0,0,9,9,2,0,0,-1,3,-6,38,13,18,85,0,0,0,0,0
20,"Ricky","-Garcia-","",61,"1966-10-28",71432,56,227,184,5,0,5,0,141,0,0,0,0,0,2,2,22,1,0,140,33,48,113,146,129,0,0,0,0,0,0,0,2,3,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,3,8,-3,-1,1,0,-1,4,9,4,3,4,-3,-7,-4,58,57,137,4,0,0,0,0,0
21,"Sigifrid","Lang","",63,"1965-4-15",65865,206,210,189,4,12,4,0,0,0,0,0,0,0,25,11,37,20,1,31,140,13,119,94,106,0,0,0,0,0,0,0,4,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-3,-5,1,0,1,1,0,5,10,3,2,-1,7,6,4,99,132,50,22,0,0,0,0,0
22,"Nick","Gleason","",47,"1980-9-29",12985,206,190,180,1,1,2,0,0,0,0,0,0,0,4,19,8,16,2,86,69,100,86,77,82,0,0,0,0,0,0,1,1,3,3,0,86,0,0,0,0,1,-1,1,1,-1,0,1,3,0,-1,-1,0,0,-1,-1,0,0,-1,-1,-1,0,-1,-1,0,0,1,2,1,-2,4,1,2,0,0,6,10,4,0,-6,1,0,4,66,72,85,12,0,0,0,0,0
23,"Tony","Oates","",43,"1985-8-12",90730,206,210,185,2,0,3,0,0,0,0,0,0,0,7,17,9,12,2,43,54,52,44,58,51,0,0,0,0,0,0,5,4,3,2,0,54,0,0,0,0,3,3,3,3,3,-1,-2,0,3,1,1,-1,1,-1,3,3,0,2,3,3,2,3,3,0,0,3,3,-5,4,-5,-4,1,0,-1,7,10,3,0,-2,-1,-1,1,44,53,45,11,0,0,0,0,0
24,"Tommy","Hill","",59,"1969-7-16",6243,206,225,191,3,8,1,0,0,4,0,0,0,0,71,61,74,49,4,34,25,13,24,7,15,0,0,0,0,0,0,0,2,3,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,4,0,3,5,-1,4,0,0,6,9,3,2,-1,0,-2,-8,24,23,29,62,0,0,0,0,0
25,"Mike","Ort","",44,"1984-3-2",86492,206,220,187,8,1,12,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,88,86,151,151,141,0,0,2,3,3,0,60,21,197,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,-1,-4,-1,-7,2,-2,0,5,10,3,2,-1,-4,1,0,40,0,0,1,116,0,0,0,0
26,"Troy","Herron","",58,"1970-5-28",29784,206,195,183,7,16,6,0,0,5,0,0,0,0,72,110,72,112,3,58,35,0,14,31,22,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,0,1,3,-7,4,-1,0,8,9,2,1,0,5,-6,4,65,32,49,94,0,0,0,0,0
27,"Tony","Trujillo","",49,"1979-5-7",42014,210,215,185,5,5,5,0,0,0,0,0,0,0,25,37,20,19,3,168,27,16,161,156,158,0,0,0,0,0,0,0,1,3,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-3,6,4,3,8,4,-1,0,5,9,4,2,-7,-3,2,5,63,60,166,25,0,0,0,0,0
28,"Moses","Nash","",64,"1964-6-11",44160,206,220,191,4,14,4,0,0,0,0,0,0,0,1,12,13,4,3,25,116,36,108,89,98,0,0,0,0,0,0,0,3,3,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,-4,2,-3,2,-1,0,5,11,4,0,6,0,6,3,108,112,43,6,0,0,0,0,0
29,"Elvis","Klein","",48,"1979-11-13",43534,206,215,190,1,7,2,0,0,0,0,0,0,0,18,15,11,23,1,61,85,79,93,63,78,0,0,0,0,0,0,3,1,1,3,0,92,0,0,0,0,3,-1,3,3,2,0,0,1,-1,1,3,3,2,3,1,0,0,0,2,2,1,-2,-1,0,0,-8,-3,-1,-5,5,5,2,-2,0,6,11,2,1,5,-1,-1,-6,63,83,65,18,0,0,0,0,0
30,"Hisham","Salah","",44,"1984-2-5",27837,206,190,185,2,1,3,0,0,0,0,0,0,0,23,22,29,29,2,124,113,118,154,119,136,0,0,0,0,0,0,1,1,3,1,0,108,0,0,0,0,-1,0,1,0,-1,0,-1,3,1,-1,-1,0,1,1,1,0,0,0,-1,1,-1,-1,1,0,0,-5,-2,2,2,3,-1,4,0,0,7,10,2,1,-4,-3,-4,2,90,119,127,25,0,0,0,0,0
31,"Ryan","Breslin","",46,"1981-12-27",71824,206,225,190,3,1,1,0,0,0,0,0,0,0,46,57,36,48,2,24,6,15,10,11,10,0,0,0,0,0,0,0,4,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,-3,2,3,1,-1,6,10,4,0,7,5,-1,8,19,7,21,48,0,0,0,0,0
32,"Chris","Barone","",46,"1982-5-28",11582,206,215,193,8,5,12,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,107,23,115,183,81,0,2,1,2,2,0,181,50,85,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,1,-5,-4,0,1,1,-1,5,10,4,1,3,0,-3,4,10,0,0,3,110,0,0,0,0
33,"Bobby","Heiler","",66,"1962-8-6",9877,206,190,186,7,16,6,0,0,5,0,0,0,0,106,105,106,110,0,18,4,21,5,24,14,0,0,0,0,0,0,0,2,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-5,0,-5,2,5,1,-1,0,7,10,3,0,2,-1,-2,2,70,7,17,107,0,0,0,0,0
34,"Ed","Rupert","",47,"1981-1-14",33753,206,220,182,5,2,5,0,0,0,0,0,0,0,15,4,6,6,1,72,14,2,53,74,63,0,0,0,0,0,0,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,7,-1,-2,4,1,0,6,10,4,0,0,-3,7,1,33,26,70,9,0,0,0,0,0
35,"Jimmy","Barker","",58,"1969-10-23",14625,206,200,174,4,17,4,0,0,0,0,0,0,0,11,24,5,34,1,5,97,9,125,120,122,0,0,0,0,0,0,0,4,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-4,2,-5,-1,-6,0,-1,0,6,10,3,1,4,-1,-3,4,102,103,34,21,0,0,0,0,0
36,"Dave","Goss","",46,"1982-8-20",13641,206,220,191,1,1,2,0,0,0,0,0,0,0,14,12,15,13,2,86,69,76,88,68,78,0,0,0,0,0,0,1,2,3,3,0,86,0,0,0,0,1,0,-1,-1,-1,0,1,3,1,0,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,-1,0,0,2,-4,-2,3,0,-6,1,-1,0,5,9,3,3,-1,-8,1,-3,63,71,84,13,0,0,0,0,0
37,"Jayden","Lewis","",60,"1967-11-12",69878,206,215,193,2,14,3,0,0,0,0,0,0,0,24,20,30,28,1,101,98,78,71,83,77,0,0,0,0,0,0,1,2,3,3,0,89,0,0,0,0,1,1,0,-1,-1,-1,1,3,0,1,-1,-1,1,1,1,0,1,0,0,-1,-1,-1,1,0,0,3,-5,6,-2,-3,9,4,1,-1,6,9,3,2,0,-2,-5,2,129,93,95,25,0,0,0,0,0
38,"Tristan","Phillips","",59,"1969-7-18",11208,206,195,176,3,12,1,0,0,5,0,0,0,0,80,75,84,76,2,22,26,10,5,13,9,0,0,0,0,0,0,0,4,3,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-2,5,2,-1,-4,1,-1,0,6,8,4,2,-4,-3,-2,-3,73,22,19,78,0,0,0,0,0
39,"Dale","Passons","",47,"1981-6-19",62900,206,195,186,8,0,12,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,150,86,173,187,60,0,2,0,3,2,0,111,196,169,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-5,2,-4,-2,-2,2,-2,0,6,8,4,2,-2,3,3,-4,50,0,0,0,135,0,0,0,0
40,"Kevin","Ritter","",43,"1984-10-9",56114,206,195,187,7,1,6,0,0,4,0,0,0,0,64,60,63,66,1,23,25,0,15,13,14,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,-5,1,1,1,-1,0,7,9,4,0,8,5,4,-2,28,22,21,64,0,0,0,0,0
41,"Jeremy","Hebert","",53,"1975-3-19",87771,206,205,184,5,2,5,0,0,0,0,0,0,0,15,21,7,18,3,83,30,28,117,107,112,0,0,0,0,0,0,3,1,3,3,0,43,0,0,0,0,3,-1,3,3,1,1,0,2,-1,1,3,3,2,3,2,0,1,1,0,1,2,-2,0,0,0,5,-3,-1,7,3,-2,3,-2,0,7,9,2,2,-3,1,7,-7,49,51,90,16,0,0,0,0,0
42,"Fastguy","Pitcherman","",51,"1977-4-15",48485,206,230,200,4,0,4,0,46,0,0,0,0,0,2,28,6,19,1,81,185,124,156,111,133,0,0,0,0,0,0,1,2,3,3,0,58,0,0,0,0,0,-1,1,0,1,-1,1,3,0,-1,0,1,1,1,0,0,1,0,1,1,1,-1,-1,0,0,-4,2,3,-7,-1,3,0,0,0,5,10,4,1,-8,-3,8,2,87,172,94,14,0,0,0,0,0
43,"Mike","Garry","",56,"1972-3-5",18111,206,195,182,1,13,2,0,0,0,0,0,0,0,15,12,12,12,2,106,105,105,114,114,114,0,0,0,0,0,0,1,2,3,3,0,106,0,0,0,0,1,-1,0,1,0,-1,-1,2,-1,0,1,0,-1,0,0,-1,-1,-1,1,0,0,0,0,0,0,-5,-2,3,1,-1,-3,3,0,0,5,8,4,3,7,1,-2,2,81,107,108,13,0,0,0,0,0
44,"Steve","Pummell","",52,"1976-1-1",36925,206,210,196,1,8,2,0,0,0,0,0,0,0,3,10,12,8,3,73,89,86,89,77,83,0,0,0,0,0,0,1,0,3,3,0,68,0,0,0,0,-1,1,-1,1,1,-1,1,2,1,0,1,0,0,1,-1,1,0,-1,-1,1,-1,1,1,0,0,-1,5,-3,0,3,-1,2,1,0,6,11,2,1,5,0,1,2,63,88,76,7,0,0,0,0,0
45,"Greg","Bostwick","",53,"1975-4-24",22535,206,230,195,3,9,1,0,0,4,0,0,0,0,60,62,59,66,1,56,35,0,4,15,9,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,-2,7,2,0,0,6,9,3,2,4,-8,-5,3,23,29,44,62,0,0,0,0,0
46,"Joe","Wilson","",56,"1972-7-11",14693,206,215,197,8,10,12,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,92,85,21,55,59,0,4,2,0,1,0,111,70,107,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-2,0,-2,-5,0,-2,0,5,10,5,0,3,6,-8,5,10,0,0,2,83,0,0,0,0
47,"Conrad","Crookshanks","",51,"1976-11-15",2405,206,190,182,7,1,6,0,0,5,0,0,0,0,75,85,67,90,3,54,42,0,9,13,11,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,2,8,3,4,-9,1,0,0,7,11,2,0,1,-1,-1,-4,24,34,43,81,0,0,0,0,0
48,"Pedro","Lagoer","",50,"1978-7-31",17321,210,210,187,5,5,5,0,0,0,0,0,0,0,10,22,20,28,2,77,53,51,96,91,93,0,0,0,0,0,0,1,2,3,3,0,64,0,0,0,0,0,-1,-1,1,0,-1,-1,3,1,0,1,-1,1,0,1,0,-1,0,-1,1,1,-1,1,0,0,-3,4,-3,-2,3,2,4,0,0,5,10,3,2,0,-6,-2,1,55,63,81,20,0,0,0,0,0
49,"Zion","McQueen","",55,"1973-5-11",59903,206,230,199,4,5,4,0,0,0,0,0,0,0,4,20,9,17,3,18,85,77,82,96,89,0,0,0,0,0,0,2,4,2,0,0,42,0,0,0,0,-3,3,3,3,2,0,-2,-3,3,-2,-2,-2,-2,-3,-2,-2,1,0,0,1,-1,3,3,0,0,4,-6,-6,-4,-3,-8,2,0,-1,7,9,3,1,3,6,-2,6,51,86,36,12,0,0,0,0,0
50,"Brian","Shavlik","",49,"1979-9-3",38596,206,190,186,1,2,2,0,0,0,0,0,0,0,13,10,18,11,1,75,72,85,98,72,85,0,0,0,0,0,0,3,3,3,2,0,95,0,0,0,0,3,1,3,1,2,2,-1,2,1,1,3,3,3,3,2,1,1,0,0,0,1,-1,-1,0,0,-2,0,-2,-2,5,1,2,1,0,6,9,3,2,1,1,1,5,65,75,78,12,0,0,0,0,0
51,"Steve","Brown","",53,"1975-1-15",90842,206,205,188,1,8,2,0,0,0,0,0,0,0,4,22,8,11,1,80,74,86,83,86,84,0,0,0,0,0,0,1,2,3,3,0,84,0,0,0,0,-1,-1,1,1,1,1,1,3,0,-1,0,-1,1,-1,1,-1,1,1,0,-1,1,-1,0,0,0,7,0,1,-3,-2,-8,2,0,0,6,11,3,0,2,-5,-6,-5,64,77,81,11,0,0,0,0,0
52,"Chris","Disney","",48,"1980-4-27",11887,206,235,192,3,5,1,0,0,4,0,0,0,0,54,43,48,53,3,3,24,15,21,12,16,0,0,0,0,0,0,0,2,2,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,-5,-4,-7,1,0,-1,6,8,3,3,-6,0,-9,0,20,22,6,51,0,0,0,0,0
53,"Brian","McCall","",46,"1981-10-3",90237,36,190,178,8,4,12,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,24,192,29,58,61,0,2,2,1,3,0,141,150,138,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,-5,4,4,0,4,-2,0,7,9,2,2,1,6,-4,8,10,0,0,1,92,0,0,0,0
54,"Aiden","Harris","",50,"1978-2-1",19260,206,200,182,7,4,6,0,0,5,0,0,0,0,87,80,86,84,2,29,37,0,14,3,8,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-3,-2,-2,0,-2,4,-1,0,5,8,4,3,-2,1,3,0,20,30,24,84,0,0,0,0,0
55,"Lee","Alcala","",54,"1974-5-13",14625,206,215,186,5,8,5,0,0,0,0,0,0,0,5,18,11,12,1,101,22,20,86,86,86,0,0,0,0,0,0,0,2,3,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,1,1,7,-4,-4,4,-1,-1,6,8,4,2,5,2,2,-6,43,38,97,11,0,0,0,0,0
56,"George","Cozzens","",49,"1979-7-7",16824,206,205,183,4,1,4,0,0,0,0,0,0,0,16,4,8,6,3,6,97,6,83,87,85,0,0,0,0,0,0,0,1,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,-8,-2,-3,2,0,0,7,9,2,2,-4,5,-1,-6,38,94,26,9,0,0,0,0,0
57,"Ron","Thorp","",58,"1970-3-30",51489,206,220,190,9,8,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"Nick","Mitchell","",62,"1965-10-18",81568,206,230,196,9,18,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,2,1,0,0,0,0,70,0,0,0,0,0,0,0,0
59,"Israel","Montano","",72,"1956-8-14",24552,56,205,177,9,20,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
